year;region;wine;beer;vodka;champagne;brandy;alcohol;GDP_per_capita
1998;Moscow;6.80;30.00;18.90;3.50;0.70;10.63;1834.9
1999;Moscow;6.60;56.00;18.70;3.60;0.70;11.83;1330.8
2000;Moscow;6.30;61.80;18.80;3.90;0.60;12.12;1771.6
2001;Moscow;5.00;78.90;19.70;4.20;0.70;13.24;2100.4
2002;Moscow;4.80;85.70;20.80;4.00;0.90;14.05;2377.5
2003;Moscow;6.20;89.10;23.00;4.10;0.90;15.29;2975.1
2004;Moscow;6.10;99.10;24.00;3.80;1.00;16.18;4102.4
2005;Moscow;6.40;108.50;24.20;3.70;1.00;16.76;5323.5
2006;Moscow;5.90;111.00;23.80;4.20;1.20;16.79;6920.2
2007;Moscow;7.30;101.40;22.90;4.80;1.50;16.32;9101.3
2008;Moscow;8.40;95.80;20.20;5.00;1.60;15.16;11635.3
2009;Moscow;9.40;79.70;19.30;4.80;1.80;14.18;8562.8
2010;Moscow;10.10;87.80;16.60;4.90;1.80;13.61;10675
2011;Moscow;9.85;91.28;16.92;5.14;1.80;13.90;14311.1
2012;Moscow;9.70;89.90;16.50;5.00;1.70;13.59;15420.9
2013;Moscow;8.80;92.50;16.00;5.10;1.70;13.42;15974.6
2014;Moscow;8.50;82.90;15.70;5.10;1.70;12.78;14095.6
2015;Moscow;7.50;79.50;13.30;4.50;1.50;11.37;9313
2016;Moscow;6.60;69.20;12.10;4.00;1.10;10.05;8704.9
